                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.88569,                 0.2622,                0.13144,                0.72191,                  1.042,                0.86118,                0.92221,                0.95789,                0.67864,                 0.9628,                0.83784,                0.95476,                0.93277,                   1.02,                0.53987,                0.08971,                0.68728,                 1.0589,              0.0012476,              0.0012476,              0.0012476
                     59,                0.89712,                0.31327,                0.14016,                0.74757,                 1.0467,                 0.8938,                0.89189,                0.93004,                 0.6751,                 0.9081,                0.90541,                0.94353,                0.90776,                 1.0303,                0.70486,                0.08988,                0.63518,                 1.1156,              0.0012344,              0.0012344,              0.0012344
                     60,                0.87146,                0.26815,                0.13522,                0.73712,                 1.0449,                0.92297,                0.87838,                0.93159,                0.69317,                0.90289,                0.93243,                0.96059,                0.91287,                0.99381,                0.58803,                0.10674,                0.62591,                 1.0982,              0.0012212,              0.0012212,              0.0012212
                     61,                 0.8878,                0.32188,                0.13062,                0.72777,                 1.0395,                0.90673,                 0.9196,                0.95564,                0.69324,                0.97271,                0.85135,                0.95811,                0.88567,                 1.0409,                0.64135,                0.08149,                0.65127,                 1.0828,               0.001208,               0.001208,               0.001208
                     62,                0.85338,                0.25375,                0.14281,                0.71157,                 1.0231,                0.90437,                0.90541,                0.92843,                 0.6841,                0.93713,                0.93243,                0.95202,                0.92346,                 1.0372,                0.67622,                0.03532,                0.59212,                 1.1048,              0.0011948,              0.0011948,              0.0011948
                     63,                0.86573,                0.24652,                0.11915,                0.72936,                  1.026,                 0.9124,                0.91892,                 0.9621,                0.69754,                0.89899,                0.90541,                0.95037,                0.91831,                 1.0131,                0.69421,                0.06231,                0.61211,                 1.0889,              0.0011816,              0.0011816,              0.0011816
                     64,                0.86258,                0.22576,                0.13009,                0.73716,                 1.0321,                0.91338,                0.90541,                0.92705,                0.69647,                0.94131,                0.93243,                0.95853,                 0.9324,                 1.0248,                0.69045,                0.06769,                0.59569,                 1.1101,              0.0011684,              0.0011684,              0.0011684
                     65,                0.82746,                0.24577,                0.13168,                0.68556,                 1.0193,                0.94276,                0.89031,                0.94684,                0.68989,                0.95131,                0.89189,                0.95193,                0.88467,                 1.0025,                0.71728,                 0.0389,                0.67061,                  1.055,              0.0011552,              0.0011552,              0.0011552
                     66,                0.85719,                0.25526,                0.11777,                0.70447,                  1.036,                0.89178,                0.91892,                0.93956,                0.66609,                0.89178,                0.91892,                0.94593,                0.91161,                 1.0317,                0.70541,                0.05053,                0.66285,                 1.1237,               0.001142,               0.001142,               0.001142
                     67,                0.81077,                0.22387,                0.10964,                0.70003,                 0.9982,                0.92755,                0.85135,                0.91706,                0.68843,                 0.9463,                0.82432,                0.92884,                0.86867,                0.96846,                0.72545,                0.07492,                0.67759,                 1.0451,              0.0011288,              0.0011288,              0.0011288
                     68,                0.83281,                0.21572,                0.13479,                0.69792,                 1.0193,                0.88207,                0.89189,                0.93215,                0.64565,                0.87186,                0.91945,                0.94681,                0.90046,                 1.0751,                 0.5749,                0.07213,                0.67668,                 1.1145,              0.0011156,              0.0011156,              0.0011156
                     69,                0.80911,                0.24194,                0.12452,                0.68322,                 1.0056,                0.87623,                0.87838,                0.92022,                0.67452,                0.88499,                0.89189,                0.92868,                0.85653,                0.98518,                0.63436,                0.06244,                0.63308,                 1.1148,              0.0011024,              0.0011024,              0.0011024
                     70,                 0.8296,                0.26079,                0.10477,                0.69085,                 1.0131,                0.93668,                0.90541,                0.96991,                0.71708,                0.95066,                0.91892,                0.97731,                0.93163,                0.98763,                0.45252,                 0.0594,                0.61573,                 1.0534,              0.0010892,              0.0010892,              0.0010892
                     71,                0.83004,                0.24071,                0.12275,                0.71354,                 1.0161,                0.95804,                0.92558,                0.96799,                0.67566,                0.95804,                0.92558,                 0.9751,                0.91194,                 1.0272,                0.55175,                0.06545,                0.61101,                    1.1,               0.001076,               0.001076,               0.001076
                     72,                 0.8433,                0.24816,                0.12311,                0.70935,                 1.0276,                0.93738,                0.90541,                0.96237,                0.71467,                0.92445,                0.89189,                0.92636,                0.85843,                  1.015,                0.70707,                0.01957,                0.63483,                 1.0815,              0.0010628,              0.0010628,              0.0010628
                     73,                0.80975,                0.24975,                0.12366,                0.67468,                  1.011,                0.92258,                0.91892,                0.96519,                0.71081,                0.93156,                0.87838,                0.95129,                0.89654,                0.99578,                0.68264,                0.04924,                0.61623,                 1.0833,              0.0010496,              0.0010496,              0.0010496
                     74,                0.81326,                0.24019,                 0.1126,                0.69784,                 1.0125,                0.91581,                0.88204,                0.96175,                0.69634,                0.91581,                0.88204,                0.95238,                0.89418,                0.97927,                0.75268,                0.05012,                0.62887,                  1.035,              0.0010364,              0.0010364,              0.0010364
                     75,                0.81578,                0.22424,                0.10144,                0.67176,                 1.0245,                0.94624,                0.90541,                0.95302,                0.68074,                0.96053,                0.90541,                 0.9638,                0.90119,                 1.0137,                 0.7867,                0.04774,                0.61142,                 1.0882,              0.0010232,              0.0010232,              0.0010232
                     76,                0.81792,                0.23023,                0.11516,                0.66984,                 1.0191,                0.89444,                0.95946,                 0.9742,                0.71271,                0.92854,                0.93243,                0.96204,                0.92662,                0.98967,                0.70188,                0.02193,                0.56952,                  1.047,                0.00101,                0.00101,                0.00101
                     77,                0.80709,                0.22941,                0.11733,                0.68699,                 1.0082,                0.90405,                0.93243,                0.97138,                0.69792,                0.97019,                0.89189,                0.97187,                0.94945,                  0.964,                0.56832,                0.06168,                0.61569,                 1.0402,              0.0009968,              0.0009968,              0.0009968
                     78,                0.78738,                0.15167,                0.11174,                0.64242,                0.99343,                0.90546,                0.86486,                0.93047,                0.68771,                0.94375,                0.86486,                0.95485,                0.93417,                0.99561,                0.74264,                0.03499,                0.62464,                 1.0453,              0.0009836,              0.0009836,              0.0009836
                     79,                0.77919,                0.17562,                0.08221,                0.63121,                0.99652,                0.94511,                0.93069,                0.97377,                 0.7296,                0.91766,                0.90366,                0.93533,                0.90839,                0.94804,                0.84545,                0.08192,                 0.5758,                0.99935,              0.0009704,              0.0009704,              0.0009704
                     80,                0.76164,                0.18883,                 0.1088,                0.64674,                0.98578,                0.90467,                0.89772,                0.93588,                0.67633,                0.89538,                0.87838,                0.90671,                0.84404,                0.99786,                0.95271,                 0.0661,                0.60654,                 1.0486,              0.0009572,              0.0009572,              0.0009572
                     81,                0.76535,                0.19064,                0.11127,                0.62377,                0.98688,                 0.9041,                0.90541,                0.94387,                 0.6829,                0.90462,                0.91892,                0.93713,                0.90991,                  1.008,                0.67777,                0.09213,                0.64982,                 1.0237,               0.000944,               0.000944,               0.000944
                     82,                 0.7645,                0.23688,                0.11257,                0.63598,                 1.0024,                0.95751,                0.91363,                0.94983,                0.71723,                0.93313,                0.87838,                0.92347,                0.86784,                 0.9462,                 0.8892,                 0.0737,                0.60812,                 1.0221,              0.0009308,              0.0009308,              0.0009308
                     83,                0.74547,                0.22897,                0.11313,                0.63532,                0.99263,                0.96129,                0.93243,                0.94901,                0.71398,                0.93515,                0.90541,                0.95366,                0.91237,                0.94735,                0.74127,                0.04058,                0.57081,                 1.0363,              0.0009176,              0.0009176,              0.0009176
                     84,                0.77004,                0.20259,                0.10082,                0.64611,                 1.0009,                0.90115,                0.90541,                0.93787,                0.69745,                0.97053,                0.88995,                0.95027,                0.89848,                0.95731,                0.73272,                0.05209,                0.62471,                 1.0715,              0.0009044,              0.0009044,              0.0009044
                     85,                0.75247,                0.17263,                0.10679,                0.62988,                0.98395,                0.96127,                0.93243,                0.97002,                0.71696,                0.94734,                0.91892,                0.95813,                0.92236,                 1.0089,                0.77035,                0.07734,                0.58331,                 1.0984,              0.0008912,              0.0008912,              0.0008912
                     86,                 0.7624,                0.18242,                0.11696,                0.63911,                0.99716,                0.95308,                0.89189,                0.94609,                0.70855,                0.95308,                0.89189,                0.93183,                0.86295,                0.98969,                0.85734,                0.10482,                0.61652,                  1.083,               0.000878,               0.000878,               0.000878
                     87,                0.72003,                0.12273,                0.09625,                0.60904,                0.97266,                0.90414,                0.94595,                0.96159,                0.71079,                0.89099,                0.93243,                0.95218,                0.93157,                 1.0126,                0.64944,                0.06991,                0.59828,                 1.1178,              0.0008648,              0.0008648,              0.0008648
                     88,                 0.7635,                0.16607,                0.10621,                0.62346,                 0.9913,                0.94307,                0.93243,                0.97037,                0.71825,                0.91547,                0.87812,                0.90935,                0.86093,                 1.0153,                 1.0134,                0.09537,                0.58998,                 1.1343,              0.0008516,              0.0008516,              0.0008516
                     89,                0.77282,                0.14849,                0.09014,                0.64748,                0.99247,                0.90751,                0.92815,                0.95663,                0.72671,                0.96594,                0.89189,                0.95798,                0.93508,                0.93599,                0.74527,                0.05931,                0.59849,                 1.0428,              0.0008384,              0.0008384,              0.0008384
                     90,                0.75216,                0.16024,                0.08803,                0.63778,                0.98977,                0.97039,                0.88567,                0.94991,                0.70312,                0.94934,                0.86486,                 0.9244,                0.88094,                0.97856,                0.88059,                0.05572,                0.61782,                 1.0453,              0.0008252,              0.0008252,              0.0008252
                     91,                0.72995,                0.17637,                0.09367,                0.63213,                 0.9789,                0.94363,                0.90484,                0.94952,                0.71522,                0.94923,                0.86486,                0.93684,                0.90124,                0.95454,                0.77028,                0.08813,                0.57258,                 1.0566,               0.000812,               0.000812,               0.000812
                     92,                0.72244,                0.16444,                0.09305,                 0.6194,                0.98573,                0.92989,                0.90541,                0.94558,                0.69727,                0.96996,                0.87266,                0.96538,                0.93593,                 1.0162,                0.67984,                0.03479,                0.55363,                 1.0696,              0.0007988,              0.0007988,              0.0007988
                     93,                0.76261,                0.17501,                0.10232,                0.63051,                0.99379,                0.93275,                0.91892,                0.94483,                0.70204,                0.95814,                0.92794,                0.96704,                 0.8833,                 1.0118,                  0.742,                0.05224,                0.56612,                 1.1277,              0.0007856,              0.0007856,              0.0007856
