epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,998.633,1.33333,0.6671,1.17762,0.98168,0.96391,0.99275,0.68853,1.1952,0.53347,1.13472,0.000335734,0.000335734,0.000335734
123,1007.08,1.32744,0.65978,1.16766,0.99529,0.99666,0.995,0.71781,1.1362,0.50065,1.10945,0.000324732,0.000324732,0.000324732
124,1014.41,1.31689,0.66178,1.16657,0.99674,0.98988,0.99495,0.712,1.13152,0.50859,1.10917,0.000313729,0.000313729,0.000313729
125,1022.78,1.32402,0.65982,1.17818,0.98938,0.98989,0.99484,0.70453,1.14601,0.50825,1.11356,0.000302727,0.000302727,0.000302727
126,1031.15,1.34534,0.66466,1.17967,0.97401,0.99966,0.99345,0.6766,1.18144,0.53426,1.12267,0.000291725,0.000291725,0.000291725
127,1038.61,1.33798,0.66624,1.17805,0.99662,0.99545,0.99497,0.70682,1.15286,0.51476,1.11327,0.000280723,0.000280723,0.000280723
128,1046.9,1.33433,0.65091,1.16181,0.99985,0.9966,0.995,0.70772,1.13539,0.50688,1.10766,0.000269721,0.000269721,0.000269721
129,1054.31,1.3234,0.65819,1.16857,0.99693,0.97841,0.99266,0.7078,1.14262,0.51881,1.1126,0.000258718,0.000258718,0.000258718
130,1062.55,1.32992,0.65797,1.1701,0.97759,0.98049,0.99425,0.70669,1.14612,0.52284,1.11263,0.000247716,0.000247716,0.000247716
131,1070.98,1.31778,0.65651,1.16795,0.99425,0.99454,0.99495,0.71657,1.14508,0.51346,1.10981,0.000236714,0.000236714,0.000236714
132,1078.41,1.31789,0.64618,1.16771,0.98287,0.99302,0.99473,0.71256,1.14081,0.51369,1.11016,0.000225712,0.000225712,0.000225712
133,1086.75,1.3371,0.66669,1.19438,0.98807,0.97198,0.99403,0.70494,1.14968,0.51921,1.11057,0.00021471,0.00021471,0.00021471
134,1094.07,1.3102,0.66068,1.18014,0.99287,0.97338,0.99258,0.71264,1.13623,0.50761,1.10581,0.000203707,0.000203707,0.000203707
135,1102.37,1.32721,0.65615,1.1622,0.98912,0.98298,0.99453,0.7008,1.16821,0.52796,1.11906,0.000192705,0.000192705,0.000192705
136,1110.71,1.31495,0.65414,1.16718,0.99353,0.99357,0.99474,0.72106,1.12933,0.50063,1.10509,0.000181703,0.000181703,0.000181703
